teamID,team_fullName,currentTeam
ATOMS,Sankei Atoms,Tokyo Yakult Swallows
CHUNICHI,Chunichi Dragons,Chunichi Dragons
DENA,Yokohama DeNA BayStars,Yokohama DeNA BayStars
HANSHIN,Hanshin Tigers,Hanshin Tigers
HIROSHIMA,Hiroshima Toyo Carp,Hiroshima Toyo Carp
KOKUTETSU,Kokutetsu Swallows,Tokyo Yakult Swallows
NAGOYA,Nagoya Dragons,Chunichi Dragons
NISHI NIPPON,Nishi Nippon Pirates,
OSAKA,Osaka Tigers,Hanshin Tigers
SANKEI,Sankei Atoms,Tokyo Yakult Swallows
SHOCHIKU,Shochiku Robins,Yokohama DeNA BayStars
TAIYO,Taiyo Whales,Yokohama DeNA BayStars
YAKULT,Tokyo Yakult Swallows,Tokyo Yakult Swallows
YOKOHAMA,Yokohama BayStars,Yokohama DeNA BayStars
YOMIURI,Yomiuri Giants,Yomiuri Giants
YOSHO,Taiyo-Shochiku Robins,Yokohama DeNA BayStars
ATOMS,Sankei Atoms,Tokyo Yakult Swallows
CHUNICHI,Chunichi Dragons,Chunichi Dragons
DENA,Yokohama DeNA BayStars,Yokohama DeNA BayStars
HANSHIN,Hanshin Tigers,Hanshin Tigers
HIROSHIMA,Hiroshima Toyo Carp,Hiroshima Toyo Carp
KOKUTETSU,Kokutetsu Swallows,Tokyo Yakult Swallows
NAGOYA,Nagoya Dragons,Chunichi Dragons
NISHI NIPPON,Nishi Nippon Pirates,
OSAKA,Osaka Tigers,Hanshin Tigers
SANKEI,Sankei Atoms,Tokyo Yakult Swallows
SHOCHIKU,Shochiku Robins,Yokohama DeNA BayStars
TAIYO,Taiyo Whales,Yokohama DeNA BayStars
YAKULT,Tokyo Yakult Swallows,Tokyo Yakult Swallows
YOKOHAMA,Yokohama BayStars,Yokohama DeNA BayStars
YOMIURI,Yomiuri Giants,Yomiuri Giants
YOSHO,Taiyo-Shochiku Robins,Yokohama DeNA BayStars
CROWN LIGHTER,Crown Lighter Lions,Saitama Seibu Lions
DAIEI,Daiei Stars,Chiba Lotte Marines
DAIMAI,Daimai Orions,Chiba Lotte Marines
HANKYU,Hankyu Braves,Orix Buffaloes
KINTETSU,Osaka Kintetsu Buffaloes,Orix Buffaloes
LOTTE,Lotte Giants,Lotte Giants
MAINICHI,Mainichi Orions,Chiba Lotte Marines
NANKAI,Nankai Baseball Club,Fukuoka SoftBank Hawks
NIPPON-HAM,Nippon-Ham Fighters,Hokkaido Nippon-Ham Fighters
NISHITETSU,Nishitetsu Baseball Club,
NITTAKU,Nittaku Home Flyers,Hokkaido Nippon-Ham Fighters
ORIONS,Tokyo Orions,Chiba Lotte Marines
ORIX,Orix Buffaloes,Orix Buffaloes
RAKUTEN,Tohoku Rakuten Golden Eagles,Tohoku Rakuten Golden Eagles
SEIBU,Saitama Seibu Lions,Saitama Seibu Lions
SOFTBANK,Fukuoka SoftBank Hawks,Fukuoka SoftBank Hawks
TAIHEIYO CLUB,Taiheiyo Club Lions,Saitama Seibu Lions
TAKAHASHI,Takahashi Unions,
TOEI,Toei Flyers,Hokkaido Nippon-Ham Fighters
TOKYU,Tokyu Flyers,Hokkaido Nippon-Ham Fighters
TOMBO,Tombo Unions,
BINGGRAE,Binggrae Eagles,Hanwha Eagles
CHUNGBO,Chungbo Pintos,
DOOSAN,Doosan Bears,Doosan Bears
HAITAI,Haitai Tigers,KIA Tigers
HANWHA,Hanwha Eagles,Hanwha Eagles
HYUNDAI,Hyundai Unicorns,
KIA,KIA Tigers,KIA Tigers
KT,KT Wiz,KT Wiz
KIWOOM,Kiwoom Heroes,Kiwoom Heroes
LG,LG Twins,LG Twins
LOTTE,Lotte Giants,Lotte Giants
MBC,MBC Chungyong,LG Twins
NC,NC Dinos,NC Dinos
NEXEN,Nexen Heroes,Kiwoom Heroes
OB,OB Bears,Doosan Bears
PACIFIC,Pacific Dolphins,
SBW,SBW Raiders,
SK,SK Wyverns,SSG Landers
SSG,SSG Landers,SSG Landers
SAMMI,Sammi Superstars,
SAMSUNG,Samsung Lions,Samsung Lions
WOORI,Woori Heroes,Kiwoom Heroes
CHU,Chunichi Dragons,
ASAHI,Asahi Baseball Club,
CHUBU NIPPON,Chubu Nippon,
DAI TOKYO,Dai Tokyo,
EAGLES,Eagles,
GOLD STAR,Kinsei Stars,
KINKI,Kinki Great Ring,
KINKI NIPPON,Kinki Nippon Club,
KINKO,Nagoya Kinko,
KINSEI,Kinsei Stars,
KORAKUEN,Korakuen Eagles,
KUROWASHI,Kurowashi,
KYOJIN,Tokyo Kyojin,
KYUEI,Kyuei Flyers,
LION,Lion Baseball Club ,
PACIFIC2,Pacific Baseball Club,
SANGYO,Sangyo Baseball Club,
SENATORS,Tokyo Senators,
TSUBASA,Tsubasa Baseball Club,
YAMATO,Yamato Baseball Club,
BFP,Buffalo Bisons,
BRP,Brooklyn Ward's Wonders,
BSP,Boston Reds,
