generator,chisqr_p,chisqr_X2.X-squared,chisqr_df.df,ks_p,ks_D.D,freq_p,freq_X2.X-squared,freq_df.df,eqdist_empiricalMean,eqdist_diff,gap_p,gap_X2.X-squared,gap_df.df,serial_autocorrelation,perm_observed_stat,perm_p,entropy_val,fft_dominant_frequency,fft_dominant_period,fft_max_magnitude
IBM Qiskit (Single-Qubit),0.36679464993595995,12.559666666666667,10,3.8043299407971415e-4,0.1035,0.36679464993595995,12.559666666666667,10,0.5009033333333334,0.012996666666666663,1.550278888208676e-82,647.8394683026585,44.9,-0.005317226821443162,5.009033333333333,0.9510833333333333,3.4412891015887865,0.25356666666666666,8.60583959910566,171.21870718235084
Linear Congruential Generator (LCG),0.47885872799516865,9.8918,10,2.483445846692684e-4,0.1014,0.47885872799516865,9.8918,10,0.50576,0.008240000000000008,8.99914282051129e-84,645.828936605317,44.65,-0.011276806561383291,5.0576,1,3.4449235208455375,0.278,6.55157090908739,179.534049291429
Mersenne Twister (MT19937),0.6197791385442287,7.969,10,3.4146694506899324e-4,0.1009,0.6197791385442287,7.969,10,0.49535999999999997,0.009759999999999998,1.1472032808553763e-86,627.0739263803679,44.55,0.005564216280356458,4.9536,1,3.447847261785041,0.17779999999999999,12.943558573347817,176.32523622946076
XORShift,0.6425900768410873,7.925,10,1.7887150293179803e-4,0.1036,0.6425900768410873,7.925,10,0.49789,0.011030000000000005,7.681774420711337e-87,660.2445807770962,45.3,0.00343259061742351,4.9789,1,3.4479665446900514,0.23420000000000002,31.348260188840886,171.4794826798915
